,mean,std,min,max
stat64,0.0,1.0001,-1.1794,1.2054
stat65,0.0,1.0001,-1.1664,1.208
stat66,-0.0,1.0001,-1.1691,1.221
stat67,-0.0,1.0001,-1.1511,1.2157
stat68,-0.0,1.0001,-3.5048,4.789
stat69,-0.0,1.0001,-2.441,2.6225
stat70,0.0,1.0001,-3.4619,4.7132
stat71,0.0,1.0001,-2.5113,5.7921
stat72,0.0,1.0001,-2.1782,6.3477
stat73,0.0,1.0001,-1.3677,3.7486
stat74,-0.0,1.0001,-2.1488,6.2718
stat75,-0.0,1.0001,-1.617,9.516
stat76,-0.0,1.0001,-4.1829,2.6068
