,mean,std,min,max
stat20,-0.0,1.0001,-0.7236,6.2561
stat21,-0.0,1.0001,-0.9479,8.3148
stat22,0.0,1.0001,-0.4222,37.971
stat23,0.0,1.0001,-0.493,28.0176
stat24,-0.0,1.0001,-0.5147,15.1666
stat25,-0.0,1.0001,-0.503,17.9559
stat26,0.0,1.0001,-0.5244,15.9295
stat27,0.0,1.0001,-0.5306,15.9648
stat28,0.0,1.0001,-0.518,21.997
stat29,-0.0,1.0001,-0.5415,14.3977
stat30,0.0,1.0001,-0.5354,16.131
stat31,0.0,1.0001,-0.5248,15.0527
stat32,0.0,1.0001,-3.7138,3.2274
stat33,0.0,1.0001,-3.4295,3.3288
stat34,-0.0,1.0001,-3.5544,3.0364
stat35,-0.0,1.0001,-4.03,3.246
stat36,0.0,1.0001,-1.276,1.526
stat37,-0.0,1.0001,-1.4704,1.358
stat38,-0.0,1.0001,-1.4406,1.3768
stat39,0.0,1.0001,-1.443,1.3526
stat40,0.0,1.0001,-1.4369,1.343
stat41,-0.0,1.0001,-1.7898,1.0571
stat42,-0.0,1.0001,-1.7739,1.071
stat43,-0.0,1.0001,-1.7856,1.0669
stat44,0.0,1.0001,-1.8391,1.0366
stat45,0.0,1.0001,-1.777,1.0876
stat46,0.0,1.0001,-1.7745,1.0751
stat47,-0.0,1.0001,-1.7825,1.0694
stat48,0.0,1.0001,-1.7718,1.0748
stat49,-0.0,1.0001,-1.797,1.0666
stat50,-0.0,1.0001,-1.8048,1.0628
stat51,-0.0,1.0001,-1.8263,1.0248
stat52,-0.0,1.0001,-1.873,1.003
stat53,-0.0,1.0001,-1.8635,1.0149
stat54,0.0,1.0001,-1.8756,0.9982
stat55,-0.0,1.0001,-1.7987,1.0235
stat56,-0.0,1.0001,-1.7274,1.0682
stat57,0.0,1.0001,-1.8614,0.8862
stat58,-0.0,1.0001,-1.4025,1.3407
stat59,0.0,1.0001,-1.3613,1.3516
stat60,0.0,1.0001,-1.3452,1.3673
stat61,0.0,1.0001,-1.3379,1.3776
stat62,0.0,1.0001,-1.3396,1.3811
stat63,-0.0,1.0001,-1.3627,1.3529
stat64,-0.0,1.0001,-1.36,1.3443
stat65,-0.0,1.0001,-1.345,1.3656
stat66,0.0,1.0001,-1.367,1.345
stat67,-0.0,1.0001,-1.359,1.3533
stat68,0.0,1.0001,-2.6649,2.8162
stat69,0.0,1.0001,-2.4641,2.582
stat70,-0.0,1.0001,-2.6998,2.839
stat71,-0.0,1.0001,-2.5467,5.9046
stat72,0.0,1.0001,-1.473,4.0601
stat73,-0.0,1.0001,-1.3847,3.7005
stat74,-0.0,1.0001,-1.4922,4.089
stat75,0.0,1.0001,-1.1375,10.0904
stat76,-0.0,1.0001,-2.7934,2.2011
